swept_param_id,swept_param_label,swept_param_group,param_value,param_value_str,in_steps,in_time_step,in_range_noise_act,in_az_noise_act,in_dop_noise_act,in_process_noise_q,in_range_noise_gss,in_az_noise_gss,in_dop_noise_gss,in_rangex_noise_gss,in_rangey_noise_gss,in_init_range,in_init_x,in_init_y,in_init_vx,in_init_vy,in_P0_range,in_P0_x,in_P0_y,in_P0_vx,in_P0_vy,in_sensor_range0,in_sensor_az0,in_sensor_speed,in_sensor_accel,in_sensor_yaw,in_sensor_yawrate,in_sensor_yawraterate,in_target_range0,in_target_az0,in_target_speed,in_target_accel,in_target_yaw,in_target_yawrate,in_target_yawraterate,in_sensor_turnrate,in_target_turnrate,in_state_meas,in_sensor_traj,in_target_traj,rmse_rangex,rmse_rangey,rmse_vx,rmse_vy,rmse_azimuth,run_failed
P02,Time step (s),Simulation,0.1,0.1,1000,0.1,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,4.111735246607463,2.222288808716232,0.06341098223721996,0.27681745043174183,0.7087509982796834,False
P02,Time step (s),Simulation,0.2,0.2,1000,0.2,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,4.113806686497881,2.2342725820899716,0.07769792461133866,0.2735837202768285,0.7102174257263192,False
P02,Time step (s),Simulation,0.3,0.3,1000,0.3,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,4.116565623355513,2.248293172949252,0.047677081300560545,0.317895443910729,0.711953107497945,False
P02,Time step (s),Simulation,0.4,0.4,1000,0.4,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,,,,,,True
P02,Time step (s),Simulation,0.5,0.5,1000,0.5,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,550.6899704340087,318.0893796755937,0.10993953956991263,0.1795067348455916,10.240419659477787,False
P02,Time step (s),Simulation,0.6,0.6,1000,0.6,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,,,,,,True
P02,Time step (s),Simulation,0.7,0.7,1000,0.7,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,,,,,,True
P02,Time step (s),Simulation,0.7999999999999999,0.7999999999999999,1000,0.7999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,3.907855761308306e+17,3.9094740808199014e+17,2.113640180106496e+17,1.9739515641875504e+17,96.48720413028255,False
P02,Time step (s),Simulation,0.8999999999999999,0.8999999999999999,1000,0.8999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,,,,,,True
P02,Time step (s),Simulation,0.9999999999999999,0.9999999999999999,1000,0.9999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,4.203849133736076,2.572309743004321,0.3389721784729267,0.6960670419693101,0.7605334771658481,False
P02,Time step (s),Simulation,1.0999999999999999,1.0999999999999999,1000,1.0999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,8.264681144028415,8.848819860153759,4.418594342842058,5.291547178675218,2.633114825815287,False
P02,Time step (s),Simulation,1.2,1.2,1000,1.2,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,2+4,FreeTraj,FreeTraj,268.9955264567319,287.98680027730546,153.8356096838169,164.99294772436366,45.33721501858983,False
