swept_param_id,swept_param_label,swept_param_group,param_value,param_value_str,in_steps,in_time_step,in_range_noise_act,in_az_noise_act,in_dop_noise_act,in_process_noise_q,in_range_noise_gss,in_az_noise_gss,in_dop_noise_gss,in_rangex_noise_gss,in_rangey_noise_gss,in_init_range,in_init_x,in_init_y,in_init_vx,in_init_vy,in_P0_range,in_P0_x,in_P0_y,in_P0_vx,in_P0_vy,in_sensor_range0,in_sensor_az0,in_sensor_speed,in_sensor_accel,in_sensor_yaw,in_sensor_yawrate,in_sensor_yawraterate,in_target_range0,in_target_az0,in_target_speed,in_target_accel,in_target_yaw,in_target_yawrate,in_target_yawraterate,in_sensor_turnrate,in_target_turnrate,in_state_meas,in_sensor_traj,in_target_traj,rmse_rangex,rmse_rangey,rmse_vx,rmse_vy,rmse_azimuth,run_failed
P01,Steps,Simulation,5000.0,5000,5000,1.0,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.136222122537391,2.256472400875397,1.0224452813420366,0.9731655473790075,0.7124753349051183,False
P02,Time step (s),Simulation,0.1,0.1,1000,0.1,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.111503875083522,2.2157044861671054,0.009859730055374254,0.08143574480238709,0.7079676421792123,False
P02,Time step (s),Simulation,0.2,0.2,1000,0.2,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.113424646881078,2.221000776614235,0.008571358959004445,0.0475188557107718,0.7085705980814463,False
P02,Time step (s),Simulation,0.3,0.3,1000,0.3,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.116484337384956,2.228939444683178,0.019411745241146132,0.06595536594307944,0.7094160579811776,False
P02,Time step (s),Simulation,0.4,0.4,1000,0.4,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.121106493325945,2.2362168126629536,0.018745766462987933,0.09020688291156313,0.7100473424737748,False
P02,Time step (s),Simulation,0.5,0.5,1000,0.5,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.126438855324378,2.2503237686558464,0.015685979075854745,0.08657700115974937,0.7112584867484354,False
P02,Time step (s),Simulation,0.6,0.6,1000,0.6,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.133349560691427,2.2615217981619478,0.017738675290821605,0.06404900304402668,0.7118913491974108,False
P02,Time step (s),Simulation,0.7,0.7,1000,0.7,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.141475958199548,2.2787966870606753,0.017781229316000804,0.05912392254201065,0.7128102116376986,False
P02,Time step (s),Simulation,0.7999999999999999,0.7999999999999999,1000,0.7999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.15022953420661,2.292033615818922,0.019731995252181188,0.05142421117053477,0.7132220087030712,False
P02,Time step (s),Simulation,0.8999999999999999,0.8999999999999999,1000,0.8999999999999999,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.160830531417972,2.3106932035296137,0.020798607466721887,0.06389215009023778,0.7139049371615741,False
